PlayerId;League;Team
0;0;16
1;0;27
2;0;29
3;0;29
5;0;4
6;0;31
7;0;18
8;0;31
9;0;8
10;0;9
12;0;18
13;0;9
15;0;19
17;0;29
18;0;12
19;0;17
23;0;7
25;0;6
26;0;25
27;0;18
34;0;22
35;0;19
38;0;22
41;0;22
42;0;9
46;0;22
47;0;1
50;0;19
53;0;20
54;0;26
55;0;3
56;0;18
57;0;31
61;0;1
63;0;10
70;0;4
71;0;16
72;0;0
80;0;27
85;0;9
86;0;31
88;0;1
89;0;12
92;0;9
93;0;27
94;0;16
96;0;27
97;0;27
98;0;0
99;0;27
101;0;22
102;0;1
105;0;27
106;0;17
108;0;1
109;0;0
112;0;20
115;0;11
116;0;1
117;0;8
118;0;9
119;0;7
123;0;10
124;0;17
125;0;10
127;0;16
133;0;16
134;0;19
135;0;27
139;0;16
140;0;26
141;0;4
143;0;6
144;0;19
145;0;8
147;0;17
150;0;19
151;0;12
152;0;12
156;0;29
157;0;21
159;0;9
161;0;19
163;0;11
164;0;1
170;0;12
174;0;20
178;0;0
181;0;19
183;0;27
188;0;27
195;0;18
198;0;9
203;0;12
204;0;19
205;0;19
206;0;27
208;0;17
214;0;26
215;0;20
216;0;18
217;0;26
218;0;25
220;0;21
221;0;26
223;0;22
225;0;26
226;0;9
228;0;18
233;0;12
234;0;12
235;0;16
236;0;17
240;0;17
241;0;26
243;0;3
244;0;10
248;0;31
249;0;1
250;0;18
253;0;0
254;0;0
255;0;9
258;0;27
261;0;27
263;0;12
271;0;0
274;0;18
277;0;25
278;0;11
280;0;3
284;0;22
285;0;15
286;0;20
287;0;25
288;0;3
289;0;9
290;0;16
291;0;6
294;0;16
295;0;25
297;0;1
299;0;6
301;0;1
302;0;29
305;0;17
306;0;0
312;0;25
314;0;22
317;0;0
318;0;21
319;0;12
326;0;15
329;0;1
330;0;10
338;0;17
341;0;18
342;0;27
345;0;12
346;0;12
354;0;11
355;0;11
357;0;12
358;0;4
360;0;26
364;0;1
366;0;18
369;0;9
371;0;9
373;0;18
374;0;9
375;0;10
377;0;9
379;0;22
381;0;19
383;0;19
385;0;10
388;0;6
393;0;25
396;0;12
397;0;29
403;0;16
408;0;29
413;0;3
414;0;20
415;0;0
419;0;15
425;0;20
427;0;22
430;0;1
433;0;17
438;0;6
440;0;1
441;0;29
442;0;9
443;0;19
445;0;29
446;0;21
448;0;18
452;0;6
457;0;17
458;0;25
462;0;8
464;0;8
466;0;6
475;0;31
478;0;27
487;0;31
489;0;29
493;0;21
495;0;20
501;0;11
503;0;8
506;0;31
508;0;29
514;0;0
528;0;22
529;0;10
530;0;9
531;0;8
540;0;31
541;0;4
546;0;3
549;0;19
551;0;9
553;0;20
555;0;16
562;0;27
566;0;16
573;0;9
579;0;29
582;0;0
583;0;16
585;0;12
586;0;11
590;0;20
592;0;18
593;0;25
594;0;18
596;0;18
597;0;6
600;0;8
601;0;9
603;0;0
604;0;6
605;0;27
611;0;10
613;0;18
616;0;18
617;0;25
618;0;26
623;0;11
625;0;0
627;0;10
628;0;11
633;0;18
636;0;3
637;0;26
638;0;27
640;0;21
641;0;16
644;0;18
645;0;1
648;0;15
651;0;3
654;0;11
655;0;20
656;0;4
661;0;15
662;0;25
663;0;3
664;0;7
666;0;6
667;0;22
668;0;31
670;0;20
672;0;0
674;0;11
676;0;9
681;0;0
682;0;3
683;0;21
684;0;29
685;0;18
687;0;26
688;0;10
689;0;10
691;0;9
693;0;3
695;0;17
697;0;27
699;0;20
702;0;0
705;0;29
706;0;18
707;0;6
709;0;21
712;0;29
716;0;16
717;0;25
721;0;15
724;0;15
726;0;25
727;0;4
730;0;20
731;0;4
732;0;6
734;0;22
742;0;31
743;0;9
744;0;8
745;0;15
746;0;20
747;0;8
748;0;18
752;0;26
753;0;12
754;0;7
757;0;21
758;0;9
759;0;20
761;0;8
765;0;7
766;0;3
769;0;1
773;0;1
774;0;20
777;0;22
780;0;3
786;0;26
787;0;9
788;0;27
792;0;17
794;0;8
797;0;12
798;0;21
801;0;9
802;0;25
806;0;19
808;0;12
809;0;29
810;0;3
811;0;29
812;0;31
813;0;17
816;0;29
819;0;31
822;0;26
826;0;25
827;0;20
828;0;18
832;0;16
836;0;15
840;0;27
843;0;12
845;0;20
848;0;15
850;0;19
855;0;16
857;0;22
859;0;6
864;0;9
866;0;8
867;0;16
869;0;20
870;0;22
871;0;15
872;0;3
873;0;1
874;0;8
875;0;7
878;0;11
881;0;4
882;0;19
883;0;16
884;0;1
886;0;27
888;0;1
889;0;3
890;0;15
894;0;25
901;0;20
907;0;10
910;0;15
911;0;19
912;0;25
914;0;11
915;0;26
919;0;25
920;0;26
921;0;21
924;0;26
928;0;6
932;0;21
938;0;22
940;0;19
941;0;6
942;0;20
943;0;6
946;0;4
947;0;10
948;0;8
949;0;15
951;0;8
953;0;16
957;0;20
963;0;26
964;0;29
965;0;18
967;0;25
971;0;11
974;0;20
977;0;1
978;0;7
979;0;11
983;0;16
985;0;4
987;0;4
988;0;17
995;0;4
996;0;22
998;0;25
999;0;9
1000;0;4
1001;0;10
1003;0;27
1006;0;18
1009;0;3
1013;0;12
1018;0;0
1019;0;1
1022;0;18
1024;0;6
1025;0;18
1029;0;21
1032;0;16
1033;0;16
1036;0;15
1037;0;17
1038;0;22
1042;0;17
1043;0;26
1046;0;12
1047;0;11
1049;0;26
